raw_id;event_date;start_time;end_time;rest_time;mcu;event_number;group;irrigation_number;mude;ec_instruction;ec_measured;ph_instruction;ph_measured;duration_text;volume_applied;drainage_volume;drainage_pct;drain_ec_measured;drain_ph_measured;source_file;loaded_at
1;01/01/2025;10:20;10:35;;1.0;1.0;ESTUFA GRA.;1.0;Hora Fixa;2.9;3.0;8.0;4.9;00h15m13s;13000.0;;;;;raw_irrigation_event.csv;
3;02/01/2025;10:20;10:35;+1d 00:00;1.0;1.0;ESTUFA GRA.;1.0;Hora Fixa;2.9;3.0;8.0;5.0;00h15m13s;13000.0;;;;;raw_irrigation_event.csv;
6;04/01/2025;09:23;09:41;+1d 23:03;1.0;1.0;ESTUFA GRA.;1.0;Hora Fixa;2.9;2.9;8.0;5.4;00h17m29s;16400.0;;;;;raw_irrigation_event.csv;
9;06/01/2025;09:23;09:40;+2d 00:00;1.0;1.0;ESTUFA GRA.;1.0;Hora Fixa;2.9;3.0;8.0;5.4;00h17m16s;16000.0;;;;;raw_irrigation_event.csv;
11;07/01/2025;09:23;09:40;+1d 00:00;1.0;1.0;ESTUFA GRA.;1.0;Hora Fixa;2.9;2.9;8.0;5.5;00h17m12s;16100.0;;;;;raw_irrigation_event.csv;
14;09/01/2025;09:40;09:54;+2d 00:17;1.0;1.0;ESTUFA GRA.;1.0;Hora Fixa;2.9;3.0;8.0;5.7;00h14m09s;13100.0;;;;;raw_irrigation_event.csv;
18;12/01/2025;09:31;09:45;+2d 23:51;1.0;1.0;ESTUFA GRA.;1.0;Hora Fixa;2.9;2.9;8.0;5.7;00h13m54s;13200.0;;;;;raw_irrigation_event.csv;
20;13/01/2025;09:31;09:45;+1d 00:00;1.0;1.0;ESTUFA GRA.;1.0;Hora Fixa;2.9;2.9;8.0;5.7;00h13m54s;12700.0;;;;;raw_irrigation_event.csv;
22;14/01/2025;08:25;08:42;22:54;1.0;1.0;ESTUFA GRA.;1.0;Hora Fixa;2.9;2.9;8.0;5.7;00h17m12s;15800.0;;;;;raw_irrigation_event.csv;
24;15/01/2025;08:25;08:44;+1d 00:00;1.0;1.0;ESTUFA GRA.;1.0;Hora Fixa;2.9;2.9;8.0;5.7;00h19m24s;17900.0;;;;;raw_irrigation_event.csv;
26;16/01/2025;08:25;08:44;+1d 00:00;1.0;1.0;ESTUFA GRA.;1.0;Hora Fixa;2.9;2.9;8.0;5.7;00h19m24s;18300.0;;;;;raw_irrigation_event.csv;
28;17/01/2025;09:35;09:49;+1d 01:10;1.0;1.0;ESTUFA GRA.;1.0;Hora Fixa;2.9;2.9;8.0;5.6;00h13m54s;13000.0;;;;;raw_irrigation_event.csv;
30;18/01/2025;09:33;09:49;23:58;1.0;1.0;ESTUFA GRA.;1.0;Hora Fixa;2.9;3.0;8.0;5.7;00h16m06s;14800.0;;;;;raw_irrigation_event.csv;
34;21/01/2025;09:42;10:00;+3d 00:09;1.0;1.0;ESTUFA GRA.;1.0;Hora Fixa;2.9;2.9;8.0;5.9;00h18m18s;17100.0;;;;;raw_irrigation_event.csv;
37;23/01/2025;09:34;09:53;+1d 23:52;1.0;1.0;ESTUFA GRA.;1.0;Hora Fixa;2.9;3.0;8.0;5.9;00h19m37s;17000.0;;;;;raw_irrigation_event.csv;
40;25/01/2025;09:36;09:56;+2d 00:02;1.0;1.0;ESTUFA GRA.;1.0;Hora Fixa;2.9;3.0;8.0;5.9;00h20m30s;19300.0;;;;;raw_irrigation_event.csv;
44;28/01/2025;09:51;10:11;+3d 00:15;1.0;1.0;ESTUFA GRA.;1.0;Hora Fixa;2.9;3.0;8.0;5.9;00h20m30s;19100.0;;;;;raw_irrigation_event.csv;
47;30/01/2025;09:49;10:13;+1d 23:58;1.0;1.0;ESTUFA GRA.;1.0;Hora Fixa;2.9;2.9;8.0;6.0;00h24m01s;20900.0;;;;;raw_irrigation_event.csv;
49;31/01/2025;11:46;12:09;+1d 01:57;1.0;1.0;ESTUFA GRA.;1.0;Hora Fixa;2.9;3.0;8.0;5.9;00h22m42s;21200.0;;;;;raw_irrigation_event.csv;
53;03/02/2025;10:16;10:39;+2d 22:30;1.0;1.0;ESTUFA GRA.;1.0;Hora Fixa;2.9;3.0;8.0;5.9;00h22m42s;21200.0;;;;;raw_irrigation_event.csv;
55;04/02/2025;08:42;08:57;22:26;1.0;1.0;ESTUFA GRA.;1.0;Hora Fixa;2.9;2.9;8.0;5.9;00h15m13s;12500.0;;;;;raw_irrigation_event.csv;
57;05/02/2025;10:39;10:55;+1d 01:57;1.0;1.0;ESTUFA GRA.;1.0;Hora Fixa;2.9;3.0;8.0;5.9;00h15m13s;12800.0;;;;;raw_irrigation_event.csv;
59;06/02/2025;08:42;08:57;22:03;1.0;1.0;ESTUFA GRA.;1.0;Hora Fixa;2.8;2.8;8.0;5.9;00h15m13s;12800.0;;;;;raw_irrigation_event.csv;
62;08/02/2025;08:45;09:01;+2d 00:03;1.0;1.0;ESTUFA GRA.;1.0;Hora Fixa;2.8;2.8;8.0;5.9;00h16m06s;15100.0;;;;;raw_irrigation_event.csv;
65;10/02/2025;08:18;08:36;+1d 23:33;1.0;1.0;ESTUFA GRA.;1.0;Hora Fixa;2.8;2.8;8.0;5.9;00h18m18s;17100.0;;;;;raw_irrigation_event.csv;
68;12/02/2025;08:18;08:36;+2d 00:00;1.0;1.0;ESTUFA GRA.;1.0;Hora Fixa;2.8;2.8;8.0;5.8;00h18m18s;17000.0;;;;;raw_irrigation_event.csv;
70;13/02/2025;10:59;11:14;+1d 02:41;1.0;1.0;ESTUFA GRA.;1.0;Hora Fixa;2.8;2.8;8.0;5.8;00h15m13s;12900.0;;;;;raw_irrigation_event.csv;
72;14/02/2025;09:26;09:41;22:27;1.0;1.0;ESTUFA GRA.;1.0;Hora Fixa;2.8;2.8;8.0;5.7;00h15m13s;12700.0;;;;;raw_irrigation_event.csv;
74;15/02/2025;09:20;09:35;23:54;1.0;1.0;ESTUFA GRA.;1.0;Hora Fixa;2.8;2.8;8.0;5.7;00h15m13s;12900.0;;;;;raw_irrigation_event.csv;
