raw_id;sample_code;sample_date;parcel_name;parameter_name;method;parameter_value;interpretation;parameter_unit;recommendations;loaded_at;source_file
1;2511789;29/10/2025;Faldo - 1 Green;Acidez de troca;MI;0;-;%;;;raw_soil_fq.csv
2;2511789;29/10/2025;Faldo - 1 Green;Azoto total ;POS.008 (Método de Dumas);0.13;Médio;% N;1,2-1,6 kg/100m² N;;raw_soil_fq.csv
3;2511789;29/10/2025;Faldo - 1 Green;Boro;POS.011 (Extração em Mehlich 3);0.43;Baixo;mg/kg B;1-3 kg/ha B;;raw_soil_fq.csv
4;2511789;29/10/2025;Faldo - 1 Green;Calcário ativo;POS.016 (Método de Drouineau);0;Baixo;% CaCO₃ (m/m);;;raw_soil_fq.csv
5;2511789;29/10/2025;Faldo - 1 Green;Calcário total;EN 15936;0.83;Não calcário;% CaCO₃ (m/m);;;raw_soil_fq.csv
6;2511789;29/10/2025;Faldo - 1 Green;Cálcio (%);ISO 23470;64.9;Médio;% Ca;;;raw_soil_fq.csv
7;2511789;29/10/2025;Faldo - 1 Green;Cálcio (CaO);POS.011 (Extração em Mehlich 3);1600;Excesso;mg/kg CaO;;;raw_soil_fq.csv
8;2511789;29/10/2025;Faldo - 1 Green;Capacidade de troca catiónica efetiva ;ISO 23470;4.32;Muito baixo;cmol⁺/kg;;;raw_soil_fq.csv
9;2511789;29/10/2025;Faldo - 1 Green;Cobalto;POS.011 (Extração em Mehlich 3);0.12;Baixo;mg/kg Co;Aplicar por via foliar;;raw_soil_fq.csv
10;2511789;29/10/2025;Faldo - 1 Green;Cobre;POS.011 (Extração em Mehlich 3);0.98;Alto;mg/kg Cu;-;;raw_soil_fq.csv
11;2511789;29/10/2025;Faldo - 1 Green;Condutividade Elétrica (a 25ºC);ISO 11265;0.21;Solo sem efeitos salinos;mS/cm;-;;raw_soil_fq.csv
12;2511789;29/10/2025;Faldo - 1 Green;Enxofre;POS.011 (Extração em Mehlich 3);60.5;Excesso;mg/kg S;-;;raw_soil_fq.csv
13;2511789;29/10/2025;Faldo - 1 Green;Ferro;POS.011 (Extração em Mehlich 3);84.7;Alto;mg/kg Fe;-;;raw_soil_fq.csv
14;2511789;29/10/2025;Faldo - 1 Green;Fósforo (P₂O₅);POS.011 (Extração em Mehlich 3);54.2;Muito baixo;mg/kg P₂O₅;1 kg/100m² P₂O₅;;raw_soil_fq.csv
15;2511789;29/10/2025;Faldo - 1 Green;Grau de Saturação em Bases (GSB);ISO 23470;100;Muito alto;%;;;raw_soil_fq.csv
16;2511789;29/10/2025;Faldo - 1 Green;Magnésio (%);ISO 23470;26.2;Alto;% Mg;;;raw_soil_fq.csv
17;2511789;29/10/2025;Faldo - 1 Green;Magnésio (MgO);POS.011 (Extração em Mehlich 3);274;Excesso;mg/kg MgO;0-0,14 kg/100m² MgO;;raw_soil_fq.csv
18;2511789;29/10/2025;Faldo - 1 Green;Manganês;POS.011 (Extração em Mehlich 3);7.2;Baixo;mg/kg Mn;;;raw_soil_fq.csv
19;2511789;29/10/2025;Faldo - 1 Green;Manganês (MnAI);POS.011 (Extração em Mehlich 3);0;Baixo;MnAI;2-5 kg/ha Mn;;raw_soil_fq.csv
20;2511789;29/10/2025;Faldo - 1 Green;Matéria Orgânica;EN 15936;2.9;Média;%;Aplicar 20 t/ha de estrume de bovino bem curtido;;raw_soil_fq.csv
21;2511789;29/10/2025;Faldo - 1 Green;Molibdénio;POS.011 (Extração em Mehlich 3);0.01;Baixo;mg/kg Mo;Aplicar por via foliar;;raw_soil_fq.csv
22;2511789;29/10/2025;Faldo - 1 Green;Necessidade de Calcário;POS.061;0;Não há necessidade de aplicação de calcário.;    ;;;raw_soil_fq.csv
23;2511789;29/10/2025;Faldo - 1 Green;Níquel;POS.011 (Extração em Mehlich 3);0;Baixo;mg/kg Ni;Aplicar por via foliar ;;raw_soil_fq.csv
24;2511789;29/10/2025;Faldo - 1 Green;Pesquisa de carbonatos;POS.030;1;Positiva; ;;;raw_soil_fq.csv
25;2511789;29/10/2025;Faldo - 1 Green;pH(H₂O);ISO 10390;8.8;Alcalino;Unidades de pH;;;raw_soil_fq.csv
